-,Arabic,Azerbaijan,Bengali,Chinese,Spanish,Persian,Gujarati,Hindi,Indonesia,Italian,Japanese,Kannada,Malayalam,Marathi,Malay,Odia,Portuguese,Russian,sinhala,தமிழ்,Turkish
cha_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
cha_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
cha_8,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
carbon_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
chab_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
chab_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
chab_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
chats_6,,,,,,,,,,❌,,,,,,,,,,,
clan_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clan_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clan_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clan_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clan_5,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
cvt_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
cvt_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
cvt_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
cvt_8,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
eod_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
eod_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
devs_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
devs_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
devs_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
dm_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
dm_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
dm_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
dm_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
dm_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
dm_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
echo_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fka_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sf_22,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sf_23,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
flr_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
flr_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
flr_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
flr_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
flr_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
flr_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fgn_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsub_8,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
ex_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
gas_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
grt_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
grt_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
grt_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
grt_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
grt_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
grt_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
grt_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
glitch_1,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
mdi_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
nightm_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
nightm_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
nightm_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
nightm_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
nightm_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
schdl_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
schdl_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
srch_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
srch_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
srch_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
snip_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
snip_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
snip_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_8,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
spcltool_9,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sudo_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sudo_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sudo_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sudo_4,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
unspl_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
upd_5,❌,,,❌,❌,,❌,,,❌,,❌,❌,❌,❌,❌,,❌,❌,❌,❌
upd_7,❌,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,❌,❌,❌,❌
udl_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
udl_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
udl_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
udl_7,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vct_1,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vct_2,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vct_3,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vct_4,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vct_5,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
vct_6,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wrd_1,,,,,,,❌,,,,,,,,,,,,,,
wrd_2,,,,,,,❌,,,,,,,,,,,,,,
wrd_3,,,,,,,❌,,,,,,,,,,,,,,
wrd_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wrd_5,,,,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wrd_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wrd_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wrd_8,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
prof_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
prof_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
notes_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
notes_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
notes_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
notes_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
notes_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_8,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_9,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_10,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_11,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_12,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
sts_13,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
whs_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
whs_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
whs_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
whs_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wbl_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
writer_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wbs_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wbs_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
wbs_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_6,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_7,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
youtube_8,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
zip_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
zip_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
zip_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsh_1,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsh_2,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsh_3,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
fsh_4,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
instu_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
instu_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
instu_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
instu_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
games_1,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
games_2,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
games_3,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
games_4,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
games_5,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
games_6,,❌,❌,❌,,❌,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clst_1,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clst_2,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clst_3,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clst_4,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
clst_5,,,,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
pmbot_1,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
pmbot_2,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
pmbot_3,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
pmbot_4,,❌,❌,❌,,,❌,,,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌
